CO_ENTIDADE,DS_ENDERECO,QT_SALAS_UTILIZADAS,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA
41126882,RUA LARANJEIRAS,9.0,1.0,0.0
41126980,RUA VER ELIAS KARAM,10.0,0.0,0.0
41127013,RUA DECIO BARRETO,15.0,1.0,0.0
41127021,AV GOVERNADOR CARLOS LACERDA SN,12.0,1.0,0.0
41127030,AV MONTEIRO TOURINHO,1.0,0.0,0.0
41127048,RUA ESPIRIDIAO KALLUF,15.0,1.0,0.0
41127056,RUA SEBASTIAO ALVES FERREIRA,22.0,1.0,0.0
41127064,RUA VICENTE PONTAROLLA,10.0,1.0,0.0
41127072,RUA EURIPEDES GARCES DO NASCIMENTO,9.0,0.0,0.0
41127080,RUA VIEIRA SANTOS,18.0,0.0,0.0
41127102,RUA PRES WASHINGTON LUIS,,,
41127129,RUA EMILIO ROMANI,17.0,1.0,0.0
41127145,RUA JOSE HELLA,6.0,1.0,0.0
41127153,RUA MARTIM AFONSO,12.0,1.0,0.0
41127161,TRAVESSA TOBIAS DE MACEDO,,,
41127170,RUA PEDRO GUSSO,23.0,1.0,0.0
41127196,RUA JULIO PEDROSO DE MORAES,15.0,1.0,0.0
41127200,RUA CARLOS RAZERA,13.0,1.0,0.0
41127218,RUA JOAO VALLE,12.0,0.0,0.0
41127226,RUA JOAO BATISTA SCUCATO,14.0,1.0,0.0
41127234,RUA PE ESTANISLAU PIASECKI,10.0,1.0,0.0
41127242,RUA JOSE VALLE,39.0,1.0,0.0
41127250,AVENIDA VICENTE MACHADO,10.0,0.0,0.0
41127269,RUA KONRAD ADENAUER,7.0,0.0,0.0
41127277,AVENIDA MARECHAL FLORIANO PEIXOTO,,,
41127285,RUA JOAO AMADEU PEDRO BOM,17.0,1.0,0.0
41127293,RUA SIMAO BOLIVAR,10.0,0.0,0.0
41127315,RUA JOSE CASEMIRO STENZOWSKI,12.0,0.0,0.0
41127323,RUA RIO IRIRI,15.0,1.0,0.0
41127340,RUA DESEMB CID CAMPELO,18.0,1.0,0.0
41127358,AV NOSSA SENHORA APARECIDA,5.0,0.0,0.0
41127382,AV PRESIDENTE WENCESLAU BRAZ,15.0,0.0,0.0
41127390,"RUA PROFESSOR ULISSES VIEIRA, 2809",34.0,0.0,0.0
41127404,RUA IZAAC FERREIRA DA CRUZ,14.0,1.0,0.0
41127412,RUA MOBRAL,22.0,1.0,0.0
41127420,RUA JULIO MESQUITA,21.0,1.0,0.0
41127447,RUA ANTONIO MOREIRA LOPES,17.0,1.0,0.0
41127463,RUA PASTOR WALDOMIRO BILESKI,29.0,1.0,0.0
41127480,RUA PROFESSORA DONA LULU,24.0,1.0,0.0
41127544,RUA CUIABA,16.0,1.0,0.0
41127552,RUA DIOGO MUGIATTI,15.0,1.0,1.0
41127609,RUA FRANCISCO XAVIER DE OLIVEIRA,17.0,1.0,0.0
41127617,RUA ANTONIO ANTONIACOMI,20.0,1.0,0.0
41127625,RUA PE MANUEL DA NOBREGA,11.0,0.0,0.0
41127650,RUA EURICO ZYKIEVITZ,25.0,1.0,0.0
